date,time,steps
2021-11-08,01:04,28
2021-11-08,01:05,12
2021-11-08,09:19,16
2021-11-08,09:20,14
2021-11-08,09:26,13
2021-11-08,09:27,32
2021-11-08,09:33,20
2021-11-08,09:39,18
2021-11-08,09:43,76
2021-11-08,10:13,14
2021-11-08,10:14,46
2021-11-08,10:15,14
2021-11-08,10:16,23
2021-11-08,10:17,28
2021-11-08,10:33,85
2021-11-08,10:34,85
2021-11-08,10:35,85
2021-11-08,10:36,85
2021-11-08,10:37,85
2021-11-08,10:38,85
2021-11-08,10:39,85
2021-11-08,10:40,91
2021-11-08,11:03,15
2021-11-08,11:04,13
2021-11-08,12:18,44
2021-11-08,12:22,26
2021-11-08,12:23,20
2021-11-08,13:22,21
2021-11-08,13:55,108
2021-11-08,13:56,108
2021-11-08,13:57,108
2021-11-08,14:45,20
2021-11-08,15:27,33
2021-11-08,15:32,21
2021-11-08,15:33,29
2021-11-08,17:54,10
2021-11-08,18:04,34
2021-11-08,18:05,15
2021-11-08,18:07,59
2021-11-08,18:08,59
2021-11-08,18:09,30
2021-11-08,18:10,17
2021-11-08,18:12,59
2021-11-08,18:13,57
2021-11-08,18:37,70
2021-11-08,18:40,13
2021-11-08,18:42,101
2021-11-08,18:51,16
2021-11-08,19:09,43
2021-11-08,19:25,22
2021-11-08,19:40,14
2021-11-08,19:51,32
2021-11-08,19:56,22
2021-11-08,19:57,60
2021-11-08,19:59,38
2021-11-08,20:00,34
2021-11-08,20:18,10
2021-11-08,20:20,14
2021-11-08,21:15,10
2021-11-08,21:27,14
2021-11-08,22:01,35
2021-11-08,22:05,33
2021-11-08,22:07,20
2021-11-08,22:15,11
2021-11-08,22:29,14
2021-11-08,22:32,44
2021-11-09,00:02,126
2021-11-09,00:10,126
2021-11-09,00:18,126
2021-11-09,00:26,126
2021-11-09,00:34,126
2021-11-09,00:42,126
2021-11-09,00:50,126
2021-11-09,00:58,126
2021-11-09,01:06,126
2021-11-09,01:14,126
2021-11-09,01:22,126
2021-11-09,01:30,126
2021-11-09,01:38,126
2021-11-09,01:46,126
2021-11-09,01:54,126
2021-11-09,02:02,126
2021-11-09,02:10,126
2021-11-09,02:18,126
2021-11-09,02:26,126
2021-11-09,02:34,126
2021-11-09,02:42,126
2021-11-09,02:50,126
2021-11-09,02:58,126
2021-11-09,03:06,126
2021-11-09,03:14,126
2021-11-09,03:22,126
2021-11-09,03:30,126
2021-11-09,03:38,126
2021-11-09,03:46,126
2021-11-09,03:54,126
2021-11-09,04:02,126
2021-11-09,04:10,126
2021-11-09,04:18,126
2021-11-09,04:26,126
2021-11-09,04:34,126
2021-11-09,04:42,126
2021-11-09,04:50,126
2021-11-09,04:58,126
2021-11-09,05:06,126
2021-11-09,05:14,126
2021-11-09,05:22,126
2021-11-09,05:30,126
2021-11-09,05:38,126
2021-11-09,05:46,126
2021-11-09,05:54,126
2021-11-09,06:02,126
2021-11-09,06:10,126
2021-11-09,06:18,126
2021-11-09,06:26,126
2021-11-09,06:34,126
2021-11-09,06:42,126
2021-11-09,06:50,126
2021-11-09,06:58,126
2021-11-09,07:06,126
2021-11-09,07:14,126
2021-11-09,07:22,126
2021-11-09,07:30,126
2021-11-09,07:38,126
2021-11-09,07:46,126
2021-11-09,07:54,126
2021-11-09,08:02,126
2021-11-09,08:10,126
2021-11-09,08:18,126
2021-11-09,08:26,126
2021-11-09,08:34,126
2021-11-09,08:42,126
2021-11-09,08:50,126
2021-11-09,08:58,126
2021-11-09,09:06,126
2021-11-09,09:14,126
2021-11-09,09:22,126
2021-11-09,09:30,126
2021-11-09,09:38,126
2021-11-09,09:46,126
2021-11-09,09:54,126
2021-11-09,10:02,126
2021-11-09,10:10,126
2021-11-09,10:18,126
2021-11-09,10:26,126
2021-11-09,10:34,126
2021-11-09,10:42,126
2021-11-09,10:50,126
2021-11-09,10:58,126
2021-11-09,11:06,126
2021-11-09,11:14,126
2021-11-09,11:22,126
2021-11-09,11:30,126
2021-11-09,11:38,126
2021-11-09,11:46,126
2021-11-09,11:54,126
2021-11-09,12:02,126
2021-11-09,12:10,126
2021-11-09,12:18,126
2021-11-09,12:26,126
2021-11-09,12:34,126
2021-11-09,12:42,126
2021-11-09,12:50,126
2021-11-09,12:58,126
2021-11-09,13:06,126
2021-11-09,13:14,126
2021-11-09,13:22,126
2021-11-09,13:30,126
2021-11-09,13:38,126
2021-11-09,13:46,126
2021-11-09,13:54,126
2021-11-09,14:02,126
2021-11-09,14:10,126
2021-11-09,14:18,126
2021-11-09,14:26,126
2021-11-09,14:34,126
2021-11-09,14:42,126
2021-11-09,14:50,126
2021-11-09,14:58,126
2021-11-09,15:06,126
2021-11-09,15:14,126
2021-11-09,15:22,126
2021-11-09,15:30,126
2021-11-09,15:38,126
2021-11-09,15:46,126
2021-11-09,15:54,126
2021-11-09,16:02,126
2021-11-09,16:10,126
2021-11-09,16:18,126
2021-11-09,16:26,126
2021-11-09,16:34,126
2021-11-09,16:42,126
2021-11-09,16:50,126
2021-11-09,16:58,126
2021-11-09,17:06,126
2021-11-09,17:14,126
2021-11-09,17:22,126
2021-11-09,17:30,126
2021-11-09,17:38,126
2021-11-09,17:46,126
2021-11-09,17:54,126
2021-11-09,18:02,126
2021-11-09,18:10,126
2021-11-09,18:18,126
2021-11-09,18:26,126
2021-11-09,18:34,126
2021-11-09,18:42,126
2021-11-09,18:50,126
2021-11-09,18:58,126
2021-11-09,19:06,126
2021-11-09,19:14,126
2021-11-09,19:22,126
2021-11-09,19:30,126
2021-11-09,19:38,126
2021-11-09,19:46,126
2021-11-09,19:54,126
2021-11-09,20:02,126
2021-11-09,20:10,126
2021-11-09,20:18,126
2021-11-09,20:26,126
2021-11-09,20:34,126
2021-11-09,20:42,126
2021-11-09,20:50,126
2021-11-09,20:58,126
2021-11-09,21:06,126
2021-11-09,21:14,126
2021-11-09,21:22,126
2021-11-09,21:30,126
2021-11-09,21:38,126
2021-11-09,21:46,126
2021-11-09,21:54,126
2021-11-09,22:02,126
2021-11-09,22:10,126
2021-11-09,22:18,126
2021-11-09,22:26,126
2021-11-09,22:34,126
2021-11-09,22:42,126
2021-11-09,22:50,126
2021-11-09,22:58,126
2021-11-09,23:06,126
2021-11-09,23:14,126
2021-11-09,23:22,126
2021-11-09,23:30,126
2021-11-09,23:38,126
2021-11-09,23:46,126
2021-11-09,23:54,126
2021-11-09,24:02,126
2021-11-09,24:10,126
2021-11-09,24:18,126
2021-11-09,24:26,126
2021-11-09,24:34,126
2021-11-09,24:42,126
2021-11-09,24:50,126
2021-11-09,24:58,126
2021-11-09,25:06,126
2021-11-09,25:14,126
2021-11-09,25:22,126
2021-11-09,25:30,126
2021-11-09,25:38,126
2021-11-09,25:46,126
2021-11-09,25:54,126
2021-11-09,26:02,126
2021-11-09,26:10,126
2021-11-09,26:18,126
2021-11-09,26:26,126
2021-11-09,26:34,126
2021-11-09,26:42,126
2021-11-09,26:50,126
2021-11-09,26:58,126
2021-11-09,27:06,126
2021-11-09,27:14,126
2021-11-09,27:22,126
2021-11-09,27:30,126
